BOROUGH,ZIP_CODE,RESIDENTIAL_UNITS,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE,max_temp_celsius,season
4,11436,1,794.00,1920,1,A1,206000.00,2016-10-19,,autumn
4,11693,1,795.00,1915,1,A1,175000.00,2017-08-18,,summer
4,11419,1,798.00,1925,1,A1,375000.00,2017-08-28,,summer
5,10306,1,800.00,1950,1,A1,470000.00,2017-07-13,,summer
4,11363,1,800.00,1979,1,A1,165000.00,2016-10-14,,autumn
3,11231,1,800.00,1899,1,A1,634636.00,2016-09-30,,autumn
5,10304,1,800.00,1935,1,A1,379000.00,2016-12-06,,autumn
4,11434,1,808.00,1920,1,A1,390000.00,2016-12-30,,winter
4,11436,1,812.00,1925,1,A1,463000.00,2017-02-15,,winter
4,11436,1,812.00,1920,1,A1,335000.00,2016-10-28,,autumn
4,11420,1,812.00,1925,1,A1,468000.00,2017-06-13,,spring
4,11420,1,812.00,1925,1,A1,225000.00,2016-11-18,,autumn
4,11420,1,812.00,1925,1,A1,351750.00,2017-03-20,,winter
4,11420,1,812.00,1920,1,A1,390000.00,2017-06-30,,summer
4,11434,1,812.00,1930,1,A1,299130.00,2017-07-25,,summer
4,11368,1,815.00,1915,1,A1,612000.00,2017-01-12,,winter
4,11420,1,826.00,1920,1,A1,500000.00,2017-07-25,,summer
4,11420,1,826.00,1920,1,A1,345000.00,2017-02-10,,winter
4,11420,1,826.00,1920,1,A1,385000.00,2016-12-06,,autumn
4,11436,1,826.00,1920,1,A1,342000.00,2017-08-09,,summer
3,11234,1,826.00,1925,1,A1,428000.00,2017-01-11,,winter
4,11358,1,828.00,1915,1,A1,575000.00,2017-06-01,,spring
4,11357,1,837.00,1925,1,A1,312500.00,2017-06-19,,spring
3,11234,1,838.00,1925,1,A1,281500.00,2017-04-28,,spring
4,11370,1,838.00,1925,1,A1,1400000.00,2017-04-24,,spring
4,11420,1,840.00,1930,1,A1,499000.00,2017-06-14,,spring
4,11436,1,840.00,1920,1,A1,350000.00,2017-08-17,,summer
4,11420,1,840.00,1925,1,A1,425000.00,2017-02-24,,winter
